,Channel,Text,Date,Compound,Positive,Neutral,Negative
331,FoxNews,".@SenTedCruz: “I’m grateful that under the Trump administration, we have an administration again that will stand up… https://t.co/R869JbnSgE",Thu Jun 28 13:45:15 +0000 2018,0.4588,0.15,0.85,0.0
332,FoxNews,The House Judiciary Committee holds a hearing on “Oversight of FBI and DOJ Actions Surrounding the 2016 Election.”… https://t.co/1Sdv1SMbXc,Thu Jun 28 13:37:19 +0000 2018,0.0,0.0,1.0,0.0
333,FoxNews,TONIGHT: The Florida GOP gubernatorial debate moderated by @BretBaier and @marthamaccallum – tune in at 6:30p ET on… https://t.co/XuwhmhEGkz,Thu Jun 28 13:28:33 +0000 2018,0.0,0.0,1.0,0.0
334,FoxNews,OPINION: @NewtGingrich: We need welfare reform now – Here’s why https://t.co/3CLdbgz4dP,Thu Jun 28 13:20:07 +0000 2018,0.0,0.0,1.0,0.0
335,FoxNews,Lightning strikes just feet away police officer in Florida https://t.co/dK3EGv0zQ8,Thu Jun 28 13:02:00 +0000 2018,-0.3612,0.0,0.783,0.217
336,FoxNews,.@AlanDersh on a replacement for Justice Kennedy @foxandfriends https://t.co/xrp6GtxYeO https://t.co/t2YPpKe62j,Thu Jun 28 12:56:33 +0000 2018,0.5267,0.298,0.702,0.0
337,FoxNews,RT @FoxBusiness: JUST IN: US Jobless claims rise more than expected https://t.co/qF1uysY3Pi,Thu Jun 28 12:49:00 +0000 2018,0.0,0.0,1.0,0.0
338,FoxNews,US military joins search for missing boys in Thailand cave as rescue shifts to hunt for other entrances https://t.co/7709LaxJie,Thu Jun 28 12:47:25 +0000 2018,0.2732,0.147,0.756,0.098
339,FoxNews,".@judgenap: “This was the perfect, gentlemanly thing to do...This gives the president and the Senate the maximum ti… https://t.co/Xhz1Qdteyz",Thu Jun 28 12:28:02 +0000 2018,0.5719,0.171,0.829,0.0
340,FoxNews,How a farming nonprofit helps veterans reintegrate into civilian life and recover from PTSD https://t.co/N1FgPVAU92,Thu Jun 28 12:25:01 +0000 2018,0.3818,0.167,0.833,0.0
